"Statistics for community hospital stays 2016 Maryland, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: Maryland | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
,Neonatal abstinence syndrome,27,8.3012556418,18.7407407407,506,155.5716798052,22595.9542942553,610090.765944893,1.8757479307,
,Opioid-related disorders,705,216.7550084242,5.4028368794,3809,1171.0919533162,11994.2206960085,8455925.59068605,25.9980740801,
,Sedative-related disorders,105,32.2826608291,6.0952380952,640,196.7705041014,9276.5973744679,974042.724319131,2.9947324669,
,Stimulant-related disorders,247,75.9411164266,4.3805668016,1082,332.6651334965,7565.4888454834,1868675.74483441,5.7453166924,
,Miscellaneous substances and addictive disorders,208,63.950413833,4.5576923077,948,291.4663092003,9792.5016717729,2036840.34772876,6.2623453437,
Type of mental disorder,Anxiety disorders,3108,955.5667605426,5.453989704,16951,5211.6512734741,13028.8159100893,40493559.8485577,124.4990341291,
,Bipolar disorders,807,248.1153075154,5.3866171004,4347,1336.5021583265,10104.4929953343,8154325.84723479,25.0707938682,
,Depressive disorders,3350,1029.9706074059,5.4137313433,18136,5575.9841599744,12845.0820236675,43031024.7792862,132.300569341,
,"Disruptive, impulse-control, and conduct disorders",49,15.0652417203,8.4897959184,416,127.9008276659,12680.523116926,621345.632729377,1.910351459,
,Eating disorders,56,17.2174191089,11.4107142857,639,196.4630501888,17549.5475107495,982774.660601972,3.0215791466,
,Obsessive-compulsive disorders,75,23.0590434494,4.7066666667,353,108.5312311684,7912.9065538582,593467.991539365,1.8246405604,
,Personality disorders,196,60.2609668811,6.75,1323,406.7615264472,9226.3320370916,1808361.07926995,5.5598768932,
,Schizophrenia and related disorders,548,168.4847441369,7.4781021898,4098,1259.9461340745,10124.0849237586,5547998.53821973,17.05753858,
,Somatic symptom disorders,46,14.1428799823,7.6086956522,350,107.6088694305,13588.4216879485,625067.397645634,1.9217941708,
,Suicidal ideation or attempt,567,174.3263684774,5.4091710758,3067,942.9611501236,8330.5663010013,4723431.09266775,14.5223737061,
,Trauma- and stressor-related disorders,417,128.2082815786,6.6882494005,2789,857.4889624045,13315.2772865649,5552470.6284976,17.0712881965,
,Miscellaneous mental disorders,453,139.2766224343,3.7417218543,1695,521.1343819561,7575.1517877914,3431543.75986951,10.5504155543,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Kent, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Kent, Maryland",,951,3883.6933883285,5.0967402734,4847,19794.1765018172,13467.3748138248,12807473.4479474,523.0315452259,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,*,*,*,*,*,*,*,*,
,18-44,182,2442.9530201342,4.5879120879,835,11208.0536912751,10551.5319965086,1920378.82336457,257.7689695791,
,45-64,341,5091.0719617796,5.2082111437,1776,26515.3777246939,13938.7413122953,4753110.78749271,709.6313507753,
,65-84,411,6884.4221105528,4.9440389294,2032,34036.850921273,13340.1952003147,5482820.22732934,918.3953479614,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,401,3428.2294605454,5.0872817955,2040,17440.369325468,13315.4073423459,5339478.34428072,456.4827173019,
,Female,550,4300.2345582486,5.1036363636,2807,21946.8334636434,13578.1729157576,7467995.10366673,583.8932841022,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,531,†,5.0809792844,2698,†,12906.8882949383,6853557.68461225,†,
,Medicaid,228,†,5.9736842105,1362,†,15240.0267210172,3474726.09239194,†,
,Private insurance,179,†,4.1731843575,747,†,12682.2313564822,2270119.41281031,†,
,Uninsured,*,†,*,*,†,*,*,†,
,Other,*,†,*,*,†,*,*,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,22,120.218579235,2.5909090909,57,311.4754098361,6944.3530566062,152775.767245336,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,923,356.2331146276,5.1614301192,4764,1838.6723272868,13684.6551272328,12630936.6824359,†,
Type of substance use disorder,Alcohol-related disorders,152,620.7375342018,4.9276315789,749,3058.7658757708,12897.3240466745,1960393.25509453,80.0585312653,
,Cannabis-related disorders,46,187.8547800874,3.7391304348,172,702.4135255442,8342.6660572295,383762.638632559,15.6720969752,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,97,396.1285580104,4.9278350515,478,1952.056193082,11887.2650761787,1153064.71238933,47.0888517331,
,Sedative-related disorders,*,*,*,*,*,*,*,*,
,Stimulant-related disorders,45,183.7709805203,5.8222222222,262,1069.9554865847,12962.0159975624,583290.719890311,23.8204238939,
,Miscellaneous substances and addictive disorders,27,110.2625883122,3.7777777778,102,416.547555846,7949.5915911818,214638.972961907,8.7654254487,
Type of mental disorder,Anxiety disorders,410,1674.3578225181,4.7975609756,1967,8032.8337485196,12779.5517078619,5239616.20022339,213.9754237033,
,Bipolar disorders,105,428.7989545473,5.7428571429,603,2462.5311389717,10715.346295052,1125111.36098047,45.9472928893,
,Depressive disorders,458,1870.3802017397,4.4628820961,2044,8347.2863151876,12035.9567284096,5512468.18161162,225.1181517381,
,"Disruptive, impulse-control, and conduct disorders",*,*,*,*,*,*,*,*,
,Eating disorders,*,*,*,*,*,*,*,*,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,21,85.7597909095,6.619047619,139,567.6481398293,9244.1843871121,194127.872129353,7.9277932017,
,Schizophrenia and related disorders,61,249.1117735942,8.4590163934,516,2107.2405766325,14791.5256822473,902283.066617087,36.8474319687,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,42,171.5195818189,5.380952381,226,922.9387021685,8441.759228708,354553.887605735,14.4792701272,
,Trauma- and stressor-related disorders,35,142.9329848491,8.8285714286,309,1261.8940662392,23115.0510626612,809026.787193144,33.0390324333,
,Miscellaneous mental disorders,24,98.0111896108,3.25,78,318.5363662351,6268.1447679828,150435.474431587,6.1434832536,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Montgomery, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Montgomery, Maryland",,19538,1846.3062063595,5.7155798956,111671,10552.7106341681,12936.6527778026,252756321.972707,238.8502231318,
Age group,<1,84,624.2568370987,13.7857142857,1158,8605.8263971462,28676.0083382517,2408784.70041314,179.0119426585,
,1-17,520,223.7261591812,6.4076923077,3332,1433.5683892147,18668.3253246602,9707529.16882332,41.7659272323,
,18-44,5651,1533.106527979,5.0037161564,28276,7671.2299035806,9321.3749684023,52675089.9464416,142.906608138,
,45-64,6063,2069.975623246,6.0882401451,36913,12602.508688913,14693.0242697783,89083806.147666,304.142020702,
,65-84,7219,4785.9292751164,5.8159024796,41985,27834.4979381853,13693.6688634282,98854595.5250882,655.3693069723,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,8443,1651.038865803,6.0268861779,50885,9950.6233194818,13526.5166998388,114204380.496739,223.3280479037,
,Female,11066,2023.6044517104,5.4809325863,60652,11091.2395811617,12486.7320644369,138178177.025059,252.6820659291,
,Missing,29,†,4.6206896552,134,†,12888.4293416902,373764.450909017,†,
Payer,Medicare,8415,†,5.977540107,50301,†,13380.546079509,112597295.259068,†,
,Medicaid,3899,†,6.0956655553,23767,†,11717.5568647652,45686754.2157196,†,
,Private insurance,6353,†,5.179285377,32904,†,13391.0768736764,85073511.3784661,†,
,Uninsured,479,†,4.8830897704,2339,†,8524.8507353066,4083403.50221185,†,
,Other,378,†,6.0343915344,2281,†,13600.0069793945,5140802.63821113,†,
,Missing,14,†,5.6428571429,79,†,12468.2127878449,174554.979029828,†,
Type of stay,Maternal delivery hospitalization,733,58.7386809841,2.6439290587,1938,155.3009055213,5254.7249864809,3851713.41509052,†,
,Neonatal birth hospitalization,63,5.0383877159,12.1587301587,766,61.2603966731,15138.7528896191,953741.432046009,†,
,Nonmaternal/nonneonatal hospitalization,18742,314.753547737,5.8140539964,108967,1829.9941220925,13229.6909148207,247950867.12557,†,
Type of substance use disorder,Alcohol-related disorders,3919,370.3385209706,5.170706813,20264,1914.911913485,11248.8521918089,44084251.7396993,41.6588328333,
,Cannabis-related disorders,1292,122.0916991819,4.8521671827,6269,592.4093360461,8616.651281839,11132713.456136,10.5202159626,
,Neonatal abstinence syndrome,23,2.1734590412,17.8260869565,410,38.7442698642,17045.1516929454,392038.488937744,0.3704693906,
,Opioid-related disorders,1587,149.9686738403,6.4833018273,10289,972.2921771539,15989.8449931626,25375884.004149,23.9797584854,
,Sedative-related disorders,204,19.2776367129,6.6617647059,1359,128.4230798671,11973.6605655645,2442626.75537517,2.3082387851,
,Stimulant-related disorders,577,54.5254724675,4.8509532062,2799,264.5005154878,8510.1236535118,4910341.3480763,4.6401851296,
,Miscellaneous substances and addictive disorders,547,51.690525892,6.2431444241,3415,322.7114185033,10750.8058354584,5880690.79199576,5.557148074,
Type of mental disorder,Anxiety disorders,7984,754.4737819416,5.7392284569,45822,4330.0973993145,13446.4876380829,107356757.302454,101.4502238214,
,Bipolar disorders,2263,213.8494700067,5.824569156,13181,1245.5810270255,10054.9787401346,22754416.8889246,21.5025187451,
,Depressive disorders,9300,878.8334383839,5.476344086,50930,4812.7943028914,12105.644423258,112582493.1363,106.3884511234,
,"Disruptive, impulse-control, and conduct disorders",100,9.4498219181,7.98,798,75.4095789065,13133.0146849493,1313301.46849493,1.2410465002,
,Eating disorders,141,13.3242489045,8.5390070922,1204,113.775855894,12750.5980526021,1797834.32541689,1.6989214213,
,Obsessive-compulsive disorders,187,17.6711669869,6.7219251337,1257,118.7842615106,10687.9418331316,1998645.12279562,1.8886840488,
,Personality disorders,297,28.0659710968,7.3434343434,2181,206.1006160339,10672.7432462021,3169804.74412203,2.9954090347,
,Schizophrenia and related disorders,1839,173.782225074,7.5193039695,13828,1306.7213748357,10720.0374022624,19714148.7827605,18.6295195264,
,Somatic symptom disorders,86,8.1268468496,8.7674418605,754,71.2516572625,19625.2340958047,1687770.13223921,1.5949127188,
,Suicidal ideation or attempt,1950,184.2715274031,5.5312820513,10786,1019.2577920869,8401.1107171637,16382165.8984692,15.4808550373,
,Trauma- and stressor-related disorders,1080,102.0580767155,6.3564814815,6865,648.730274678,11863.7723390997,12812874.1262277,12.1079378752,
,Miscellaneous mental disorders,902,85.2373937013,3.8137472284,3440,325.0738739828,6491.0960591079,5854968.64531532,5.5328411034,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Prince George's, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Prince George's, Maryland",,18647,2045.470500996,6.0456884904,112733.953281402,12366.2774654246,14118.9572444362,263276195.737003,288.7991054832,
Age group,<1,121,1032.159003668,11.3305785124,1371,11694.9586283374,23897.6312265581,2891613.37841353,246.6615523683,
,1-17,546,281.0868692277,7.1372770722,3896.9532814026,2006.1948670256,19939.4997223111,10886966.8483819,56.0473155091,
,18-44,6337,1801.71215253,4.9654410604,31466,8946.2955012638,10690.2128871767,67743879.0660391,192.6068647196,
,45-64,6906,2835.2430648214,6.381697075,44072,18093.6623737052,15474.1249842511,106864307.141238,438.7290554578,
,65-84,4735,4290.6204409326,6.7326293559,31879,28887.1571354784,15785.1748462517,74742802.8970021,677.2819385902,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,8696,1982.2834555924,6.1903120149,53830.9532814026,12270.9530920527,14585.4001638169,126834639.824552,289.1239743793,
,Female,9926,2098.795190913,5.922425952,58786,12429.9591066905,13722.1517991388,136206078.758252,287.9998620501,
,Missing,25,†,4.68,117,†,9419.0861679427,235477.154198566,†,
Payer,Medicare,7040,†,6.6517045455,46828,†,15121.2036966035,106453274.024088,†,
,Medicaid,5463,†,5.9829678348,32684.9532814025,†,13429.7807914277,73366892.4635698,†,
,Private insurance,5052,†,5.5740300871,28160,†,14306.9475339146,72278698.9413367,†,
,Uninsured,725,†,4.0193103448,2914,†,8218.9570536952,5958743.86392902,†,
,Other,298,†,6.2583892617,1865,†,14625.1690194587,4358300.36779871,†,
,Missing,69,†,4.0869565217,282,†,12467.9141489931,860286.076280526,†,
Type of stay,Maternal delivery hospitalization,553,47.6600879083,3.1283905967,1730,149.0993708524,7185.3942019936,3973522.99370244,†,
,Neonatal birth hospitalization,94,8.0232161147,7.829787234,736,62.820075111,9759.3211356375,917376.186749925,†,
,Nonmaternal/nonneonatal hospitalization,18000,259.7065316193,6.1259974045,110267.953281402,1590.9615386371,14354.7386975861,258385296.556551,†,
Type of substance use disorder,Alcohol-related disorders,4162,456.5478750011,5.4750120135,22787,2499.6051003484,13218.3026240922,55014575.5214721,60.3478797415,
,Cannabis-related disorders,2435,267.1057365756,4.5823408624,11158,1223.969531298,10300.4020740154,25081479.0502275,27.51296483,
,Neonatal abstinence syndrome,23,2.5229699964,16.5652173913,381,41.7935464621,20661.6219870783,475217.305702802,0.5212865235,
,Opioid-related disorders,1399,153.4623923898,6.5646890636,9184,1007.4328889981,16608.7858557794,23235691.4122354,25.4882401212,
,Sedative-related disorders,82,8.9949365089,6.4756097561,531,58.2476986126,18525.1091183572,1519058.94770529,1.6663218034,
,Stimulant-related disorders,994,109.0361815836,5.370221328,5338,585.5484278606,11761.4134001351,11690844.9197343,12.8241960718,
,Miscellaneous substances and addictive disorders,1018,111.6688459277,5.4253438114,5523,605.8418821795,11201.6785339814,11403308.7475931,12.5087851434,
Type of mental disorder,Anxiety disorders,5878,644.7833756022,6.21009753,36502.9532814025,4004.1676482193,15123.389345835,88895282.5748183,97.5131003295,
,Bipolar disorders,2269,248.8964748624,5.7219039224,12983,1424.1617157951,10543.2345040964,23922599.0897949,26.2417390172,
,Depressive disorders,6479,710.7096785517,6.0175880971,38987.9532814025,4276.7581021784,13687.798781243,88683248.3036739,97.280510719,
,"Disruptive, impulse-control, and conduct disorders",168,18.4286504085,6.8095238095,1144,125.4903337341,11541.8634640714,1939033.061964,2.1270096684,
,Eating disorders,88,9.6531025949,6.5568181818,577,63.2936386054,15969.2865647675,1405297.21769954,1.5415316158,
,Obsessive-compulsive disorders,80,8.7755478136,7.1,568,62.3063894764,14135.8987639522,1130871.90111617,1.2405025549,
,Personality disorders,174,19.0868164945,6.0574712644,1054,115.6178424438,8591.7530283079,1494965.02692556,1.6398921342,
,Schizophrenia and related disorders,2596,284.7665265504,7.2026194145,18698,2051.0649127272,10842.5744396504,28147323.2453325,30.8760226204,
,Somatic symptom disorders,127,13.931182154,8.9133858268,1132,124.174001562,21383.9021673572,2715755.57525437,2.9790303626,
,Suicidal ideation or attempt,1762,193.2814405939,5.0198372766,8844.9532814026,970.241380372,8252.5237154528,14540946.7866279,15.9505967226,
,Trauma- and stressor-related disorders,1000,109.6943476697,6.5929532814,6592.9532814026,723.20970942,15579.9531940587,15579953.1940587,17.0903280235,
,Miscellaneous mental disorders,850,93.2401955192,4.714062684,4006.9532814026,439.5401263462,8302.4605338727,7057091.4537918,7.7412304347,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Queen Anne's, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,196806.824406816,3257.7827254582,5.5539570686,1093056.65356615,18093.5853960743,13301.2513589691,2617777040.59556,433.3258690423,
"Queen Anne's, Maryland",,1416,3205.1427148645,4.9759887006,7046,15948.753932864,11478.7949492413,16253973.6481258,367.9117600698,
Age group,<1,*,*,*,*,*,*,*,*,
,1-17,16,173.5922751438,4.5,72,781.1652381469,12151.666583436,194426.665334976,21.0943544901,
,18-44,352,2738.8733271086,4.6931818182,1652,12854.0305010893,10428.4379569304,3670810.1608395,285.6217056364,
,45-64,470,3400.3762118362,5.0468085106,2372,17161.0476052669,12784.9870259116,6008943.90217846,434.7376575154,
,65-84,570,7299.2700729927,5.0964912281,2905,37200.6658983224,11116.1397995362,6336199.68573566,811.3970656596,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,609,2775.2460809333,5.2742200328,3212,14637.258476121,12556.1277032309,7646681.77126765,348.4634420009,
,Female,806,3624.9156734877,4.7493796526,3828,17216.1007420733,10647.7759071498,8582107.38116277,385.9728977361,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,694,†,5.4740634006,3799,†,11897.8728342276,8257123.74695397,†,
,Medicaid,297,†,5.1952861953,1543,†,10501.0509030035,3118812.11819206,†,
,Private insurance,393,†,4.0763358779,1602,†,11602.0114990365,4559590.51912136,†,
,Uninsured,19,†,2.8947368421,55,†,7054.48332887,134035.18324853,†,
,Other,13,†,3.6153846154,47,†,14185.5446622984,184412.08060988,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,69,159.7222222222,2.6666666667,184,425.9259259259,6454.7485293896,445377.648527885,†,
,Neonatal birth hospitalization,*,*,*,*,*,*,*,†,
,Nonmaternal/nonneonatal hospitalization,1340,371.8091009989,5.0955223881,6828,1894.5615982242,11776.5547991306,15780583.430835,†,
Type of substance use disorder,Alcohol-related disorders,259,586.2513864053,5.2277992278,1354,3064.8045451459,13114.3430690298,3396614.85487871,76.8830180601,
,Cannabis-related disorders,66,149.3922451844,4.9848484848,329,744.6977070554,11256.1855004525,742908.243029869,16.8158682412,
,Neonatal abstinence syndrome,*,*,*,*,*,*,*,*,
,Opioid-related disorders,159,359.8994997623,5.4591194969,868,1964.734376061,10736.7854015353,1707148.87884411,38.6416369507,
,Sedative-related disorders,17,38.4798207293,4,68,153.9192829172,5965.6228252381,101415.588029048,2.2955609685,
,Stimulant-related disorders,47,106.3853867222,5.170212766,243,550.0350845424,9428.6191245711,443145.098854843,10.0306729182,
,Miscellaneous substances and addictive disorders,37,83.7501980579,4.8108108108,178,402.9063582245,7345.9876916109,271801.544589605,6.152279241,
Type of mental disorder,Anxiety disorders,629,1423.7533669843,5.0890302067,3201,7245.5238914416,11459.0632202312,7207750.76552543,163.1487984229,
,Bipolar disorders,151,341.7913488309,6.1655629139,931,2107.3360646461,11368.2651117211,1716608.03186988,38.855746664,
,Depressive disorders,641,1450.9155933815,4.9344773791,3163,7159.5101745173,11074.4023796638,7098691.92536452,160.6802310004,
,"Disruptive, impulse-control, and conduct disorders",13,29.4257452636,7.3076923077,95,215.0342923108,8721.5308728067,113379.901346486,2.5663754577,
,Eating disorders,21,47.533896195,3.6666666667,77,174.2909527151,9831.3009509725,206457.319970423,4.6732003887,
,Obsessive-compulsive disorders,11,24.8987075307,4.9090909091,54,122.2300187872,8208.0943904356,90289.0382947922,2.0437094161,
,Personality disorders,25,56.5879716607,8.44,211,477.6024808167,10625.7308046835,265643.270117089,6.0128855365,
,Schizophrenia and related disorders,40,90.5407546572,7.35,294,665.4745467303,12079.0265721729,483161.062886918,10.9364418137,
,Somatic symptom disorders,*,*,*,*,*,*,*,*,
,Suicidal ideation or attempt,69,156.1828017837,7.1594202899,494,1118.1783200163,8516.5456280044,587641.648332305,13.301379577,
,Trauma- and stressor-related disorders,75,169.7639149822,4.8133333333,361,817.1303107811,9677.4211210074,725806.584075556,16.4287689643,
,Miscellaneous mental disorders,74,167.5003961158,3.5945945946,266,602.0960184703,7327.0478771324,542201.542907799,12.2728342178,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 St. Mary's, Maryland",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
