"Statistics for community hospital stays 2016 New Jersey, by county or county equivalent",,,,,,,,,,
,,,,,,,,,,
"Analysis Type: Community | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: Stays Related to Mental and/or Substance Use Disorders | Outcome and Measures: Number, Costs, Days | State: New Jersey | Community Level: County",,,,,,,,,,
,,,,,,,,,,
"2016 State Total, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
"Ocean, New Jersey",,21057,3545.0032071193,5.86318089,123461,20784.9950588476,11998.8504985548,252659794.948069,425.3596349912,
Age group,<1,126,1581.3253012048,14.8968253968,1877,23556.7269076305,22463.549339975,2830407.21683686,355.2217892617,
,1-17,552,419.6537856269,7.4547101449,4115,3128.3973330698,11523.5435801893,6360996.05626452,48.3589868726,
,18-44,5146,2987.9518072289,5.4333462884,27960,16234.5768616635,9061.0948530221,46628394.1136519,270.7411474156,
,45-64,6849,4592.3601472452,5.7436122062,39338,26376.735796807,12545.6998250844,85925498.1020031,576.1437189602,
,65-84,8384,6297.9823019486,5.9841364504,50171,37687.9854569492,13229.3057561203,110914499.459313,833.1793351911,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,9177,3210.36889332,6.1875340525,56783,19864.266848577,12555.7542742179,115224156.974498,403.0860295412,
,Female,11866,3850.8970065166,5.6118321254,66590,21610.5875327777,11555.9282562821,137122644.689043,445.0068952964,
,Missing,14,†,6.2857142857,88,†,22356.6631805674,312993.284527944,†,
Payer,Medicare,10973,†,6.0300738176,66168,†,12789.0937169133,140334725.35569,†,
,Medicaid,5002,†,6.2231107557,31128,†,9721.1242924321,48625063.7107455,†,
,Private insurance,4292,†,5.1022833178,21899,†,12793.7523740149,54910785.1892719,†,
,Uninsured,589,†,5.5857385399,3290,†,10118.28831989,5959671.82041525,†,
,Other,200,†,4.66,932,†,13820.6159011078,2764123.18022156,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,377,45.2418096724,3.424403183,1291,154.9261970479,5685.7099314352,2143512.64415107,†,
,Neonatal birth hospitalization,111,13.0373502467,13.7387387387,1525,179.1167488842,12869.2792809547,1428490.00018597,†,
,Nonmaternal/nonneonatal hospitalization,20569,310.0776362403,5.8653799407,120645,1818.7231476596,12109.8639848185,249087792.303732,†,
Type of substance use disorder,Alcohol-related disorders,3812,641.7605653958,5.9616998951,22726,3825.9838953789,11509.1518782199,43872886.9597743,73.8611981659,
,Cannabis-related disorders,1051,176.9387078255,5.7117031399,6003,1010.6213730511,7775.5985546295,8172154.08091563,13.7580436083,
,Neonatal abstinence syndrome,98,16.4985664766,15.0816326531,1478,248.8253189021,15377.4500750592,1506990.1073558,2.537058823,
,Opioid-related disorders,2727,459.0978651192,5.8489182252,15950,2685.2258704256,11238.621608758,30647721.1270831,51.5962718746,
,Sedative-related disorders,416,70.034731166,6.1298076923,2550,429.2994338298,10097.9262073632,4200737.30226312,7.0720554727,
,Stimulant-related disorders,698,117.510197966,5.5300859599,3860,649.8414959149,7983.3634681869,5572387.70079448,9.3812662158,
,Miscellaneous substances and addictive disorders,782,131.6518263745,5.7877237852,4526,761.9644068681,9494.526345108,7424719.60187443,12.4997173389,
Type of mental disorder,Anxiety disorders,9038,1521.5718756681,5.4277495021,49056,8258.7109905706,11933.995970234,107859455.578975,181.5843263265,
,Bipolar disorders,2781,468.1889119532,6.1168644373,17011,2863.8481054427,9646.4947556564,26826901.9154805,45.1638188381,
,Depressive disorders,8957,1507.9353054171,5.7157530423,51196,8618.9858095493,11560.4656237823,103547090.592218,174.3243426116,
,"Disruptive, impulse-control, and conduct disorders",409,68.8562621319,8.2053789731,3356,564.9917254639,9520.9515913308,3894069.20085428,6.5557713852,
,Eating disorders,135,22.7276170851,10.6592592593,1439,242.2595628553,14546.8044208128,1963818.59680972,3.3061420069,
,Obsessive-compulsive disorders,129,21.7175007702,6.7286821705,868,146.1301602213,11355.9921583507,1464922.98842724,2.4662376845,
,Personality disorders,939,158.0832032809,7.0958466454,6663,1121.7341676894,8387.525184756,7875886.14848589,13.2592684881,
,Schizophrenia and related disorders,1612,271.3845832681,7.9615384615,12834,2160.6387975575,11672.3394665765,18815811.2201214,31.676929819,
,Somatic symptom disorders,233,39.2261835617,6.9442060086,1618,272.394699583,9868.6148959449,2299387.27075516,3.8710809941,
,Suicidal ideation or attempt,1457,245.2899118,6.2443376802,9098,1531.6730388171,8024.1435112217,11691177.0958499,19.6824145414,
,Trauma- and stressor-related disorders,1135,191.0803362341,6.6343612335,7530,1267.6959751915,12754.5277623798,14476389.0103011,24.3713945334,
,Miscellaneous mental disorders,466,78.4523671234,4.8283261803,2250,378.7936180851,7387.3473719104,3442503.87531024,5.7955488809,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Passaic, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Passaic, New Jersey",,12696,2483.1649008475,6.2913186663,79874.5817871093,15622.3816921566,12968.574436,164649021.039456,322.031088535,
Age group,<1,55,796.4089197799,17.8909090909,984,14248.4795829713,31156.3449384524,1713598.97161488,248.1319101672,
,1-17,439,376.0139099451,6.9225512528,3039,2602.9755633785,11081.2952750138,4864688.62573105,41.6672116361,
,18-44,3677,1990.6881056792,5.4471036171,20029,10843.4843809214,9773.3971616017,35936781.3632094,194.5578548168,
,45-64,4590,3447.7319332086,6.4437908497,29577,22216.4634833359,13842.5758161429,63537422.9960959,477.2549067918,
,65-84,3934,5637.3146091567,6.670712198,26242.5817871093,37604.9033275193,14893.1708466668,58589734.1107872,839.5748959058,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,5949,2386.0231743854,6.5917938792,39214.5817871093,15728.1729564424,13653.3796835572,81223955.7374819,325.7728033365,
,Female,6737,2571.8059521446,6.0290930681,40618,15505.6574386538,12370.719526485,83341537.4499297,318.1509011053,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,4704,†,6.7699829932,31846,†,14522.0593679541,68311767.2668564,†,
,Medicaid,3872,†,6.4579028926,25005,†,11191.8118253789,43334695.3878674,†,
,Private insurance,3075,†,5.5421138211,17042,†,13038.4162272509,40093129.8987965,†,
,Uninsured,841,†,5.6618094972,4761.5817871094,†,11810.2540734739,9932423.67579155,†,
,Other,203,†,6.0049261084,1219,†,14648.8161124034,2973709.6708179,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,238,36.0114994704,3.1932773109,760,114.9947041913,6499.5316884179,1546888.54184345,†,
,Neonatal birth hospitalization,52,7.7392469117,18.2884615385,951,141.5389194821,31687.2760580701,1647738.35501964,†,
,Nonmaternal/nonneonatal hospitalization,12406,270.0714036921,6.3004660476,78163.5817871093,1701.5757094024,13014.2184541829,161454394.142593,†,
Type of substance use disorder,Alcohol-related disorders,2429,475.0793591807,6.2396047756,15156,2964.3074383463,12964.8441192534,31491606.3656665,61.5932983605,
,Cannabis-related disorders,837,163.705814588,5.9115890084,4948,967.7614941236,10299.8220231575,8620951.03338285,16.8614075441,
,Neonatal abstinence syndrome,29,5.6720055234,18.7931034483,545,106.5945865597,30511.4174764452,884831.106816913,1.7306092845,
,Opioid-related disorders,1306,255.4358349486,5.6776416539,7415,1450.2731364039,11642.2857452556,15204825.1833038,29.7385698005,
,Sedative-related disorders,134,26.2085772459,5.0298507463,674,131.8252318188,7394.4723732803,990859.298019564,1.9379860039,
,Stimulant-related disorders,762,149.0368347862,6.0026246719,4574,894.612181512,11556.2375666051,8805853.0257531,17.2230506896,
,Miscellaneous substances and addictive disorders,540,105.6166545729,6.0574074074,3271,639.7631057555,11243.9436244679,6071729.55721268,11.8754770982,
Type of mental disorder,Anxiety disorders,4442,868.7947770608,5.7872579919,25707,5027.9395168625,13005.0384274638,57768380.6947945,112.9870946126,
,Bipolar disorders,1274,249.1770702331,6.4489795918,8216,1606.9378406871,10557.444128339,13450183.8195039,26.3067299705,
,Depressive disorders,4708,920.8207587579,6.1263806287,28843,5641.2984589748,12626.987059275,59447855.0750667,116.2719180475,
,"Disruptive, impulse-control, and conduct disorders",184,35.9878971137,7.5163043478,1383,270.4959875451,9789.2440950188,1801220.91348346,3.5229430931,
,Eating disorders,72,14.0822206097,8.5833333333,618,120.8723935668,11481.7438981282,826685.560665231,1.6168845056,
,Obsessive-compulsive disorders,72,14.0822206097,6.5138888889,469,91.7300203605,9101.7257739756,655324.255726246,1.2817251028,
,Personality disorders,317,62.0008879622,7.3438485804,2328,455.3251330476,9755.9831174534,3092646.64823271,6.0487961623,
,Schizophrenia and related disorders,1501,293.5751824332,8.7092483592,13072.5817871093,2556.8191758985,12614.8999320992,18934964.798081,37.0342154894,
,Somatic symptom disorders,31,6.0631783181,7.064516129,219,42.8334210212,14205.2356718588,440362.305827625,0.8612887693,
,Suicidal ideation or attempt,702,137.3016509448,6.6752136752,4686,916.517858016,9332.6255503215,6551503.13632568,12.8138489571,
,Trauma- and stressor-related disorders,542,106.0078273676,7.1549815498,3878,758.4840489514,14417.7451922524,7814417.89420081,15.2839384337,
,Miscellaneous mental disorders,366,71.5846214327,5.3879781421,1972,385.6963755885,8906.2015834103,3259669.77952818,6.3754706875,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Salem, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Salem, New Jersey",,2716,4533.3911969421,4.7684094256,12951,21617.0653135484,10703.7157099517,29071291.8682289,485.2413057407,
Age group,<1,20,2894.3560057887,16.1,322,46599.1316931982,24659.5333126123,493190.666252247,713.7346834331,
,1-17,34,272.1741914825,5.2941176471,180,1440.9221902017,12075.1843166999,410556.266767798,32.865535284,
,18-44,630,3316.138540899,4.2412698413,2672,14064.6383829876,8403.0374785627,5293913.6114945,278.6563644328,
,45-64,1074,6289.5291637386,4.7234636872,5073,29708.3626141953,11465.8897416975,12314365.5825832,721.1504791862,
,65-84,958,8991.9279143983,4.9102296451,4704,44152.4310118265,11022.1980596358,10559265.7411311,991.1081041047,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,1077,3681.2961443806,5.2395543175,5643,19288.3511074651,12076.6858112572,13006590.618724,444.5785691388,
,Female,1637,5340.0750285435,4.459376909,7300,23813.4072745066,9787.8099449893,16022644.8799475,522.6763947137,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,1350,†,4.8622222222,6564,†,11052.7074291386,14921155.0293371,†,
,Medicaid,439,†,5.5170842825,2422,†,9900.2308429479,4346201.34005413,†,
,Private insurance,804,†,4.1741293532,3356,†,10743.7162262227,8637947.84588309,†,
,Uninsured,108,†,4.9351851852,533,†,8808.0863644354,951273.327359022,†,
,Other,15,†,5.0666666667,76,†,14314.288373033,214714.325595496,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,50,84.3170320405,2.68,134,225.9696458685,4866.9832662123,243349.163310614,†,
,Neonatal birth hospitalization,20,33.2778702163,16.1,322,535.7737104825,24659.5333126123,493190.666252247,†,
,Nonmaternal/nonneonatal hospitalization,2646,321.5066828676,4.7222222222,12495,1518.2260024301,10708.5230682789,28334752.038666,†,
Type of substance use disorder,Alcohol-related disorders,399,665.987882025,5.5313283208,2207,3683.7976331558,11904.1622594512,4749760.74152105,79.2802781045,
,Cannabis-related disorders,160,267.0628098346,4.19375,671,1119.9946587438,6694.8131528195,1071170.10445112,17.8793561191,
,Neonatal abstinence syndrome,12,20.0297107376,23.3333333333,280,467.3599172105,36198.392257338,434380.707088056,7.2504332608,
,Opioid-related disorders,307,512.4267663701,4.6156351792,1417,2365.1750095976,9042.9620325375,2776189.34398902,46.3385579274,
,Sedative-related disorders,53,88.4645557577,4.7358490566,251,418.954782928,5162.2853243389,273601.122189959,4.5667927791,
,Stimulant-related disorders,141,235.3491011667,4.4255319149,624,1041.5449583549,6790.5116795667,957462.1468189,15.9814082025,
,Miscellaneous substances and addictive disorders,97,161.9068284622,5.1546391753,500,834.5712807331,7555.1614428819,732850.659959548,12.2323222774,
Type of mental disorder,Anxiety disorders,1200,2002.9710737594,4.355,5226,8722.9390262222,10491.7022702209,12590042.7242651,210.1457616175,
,Bipolar disorders,344,574.1850411444,4.375,1505,2512.0595550066,8713.1186446186,2997312.81374879,50.0294238746,
,Depressive disorders,1142,1906.1608051944,4.408056042,5034,8402.4636544207,9928.0378674777,11337819.2446595,189.2443665547,
,"Disruptive, impulse-control, and conduct disorders",25,41.7285640367,3.72,93,155.2302582164,5994.5960207756,149864.90051939,2.5014588393,
,Eating disorders,12,20.0297107376,5.9166666667,71,118.5091218641,8874.4855568686,106493.826682422,1.7775337865,
,Obsessive-compulsive disorders,*,*,*,*,*,*,*,*,
,Personality disorders,77,128.5239772329,6.4675324675,498,831.2329956102,6032.4326389906,464497.313202276,7.7531223515,
,Schizophrenia and related disorders,227,378.8953614528,6.5682819383,1491,2488.6915591461,8826.3798486356,2003588.22564028,33.4427438307,
,Somatic symptom disorders,12,20.0297107376,5.6666666667,68,113.5016941797,10785.61513074,129427.38156888,2.160327512,
,Suicidal ideation or attempt,153,255.3788119043,5.8758169935,899,1500.5591627581,5827.6619862753,891632.283900125,14.8826139423,
,Trauma- and stressor-related disorders,105,175.2599689539,5.9238095238,622,1038.206673232,13416.7623223602,1408760.04384782,23.5142134808,
,Miscellaneous mental disorders,60,100.148553688,4.5666666667,274,457.3450618417,7081.8871897255,424913.231383531,7.0924075943,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Sussex, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Sussex, New Jersey",,4474,3096.8367135045,5.4939651319,24580,17013.9129230982,12137.7942718174,54304491.5721111,375.8876692193,
Age group,<1,18,1323.5294117647,10.8333333333,195,14338.2352941176,12383.65197489,222905.735548021,163.9012761383,
,1-17,126,442.9600984356,6.2380952381,786,2763.2272807172,8518.8144714047,1073370.62339698,37.7349489681,
,18-44,1125,2553.2784094778,5.5111111111,6200,14071.401012233,8872.0581174078,9981065.38208374,226.5283443881,
,45-64,1811,3780.0041744938,5.2611816676,9528,19887.2886662492,12408.2459383891,22471333.3944226,469.0322144526,
,65-84,1394,6142.5927557945,5.6463414634,7871,34683.1761699127,14745.9228383498,20555816.4366596,905.7819880435,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,2025,2824.0708458266,5.609382716,11359,15841.2941914789,12557.9783417716,25429906.1420875,354.6462051752,
,Female,2443,3357.3833573833,5.402783463,13199,18139.2152820724,11790.3218252217,28803756.2190166,395.8463027419,
,Missing,*,†,*,*,†,*,*,†,
Payer,Medicare,1914,†,5.6138975967,10745,†,13712.4621956058,26245652.6423895,†,
,Medicaid,683,†,6.9956076135,4778,†,8962.5585275513,6121427.47431753,†,
,Private insurance,1669,†,4.8603954464,8112,†,11639.6103872385,19426509.7363011,†,
,Uninsured,113,†,4.4601769912,504,†,9439.0734694541,1066615.30204831,†,
,Other,95,†,4.6421052632,441,†,15203.0149163638,1444286.41705456,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,96,84.8806366048,2.7083333333,260,229.8850574713,5180.733860528,497350.450610689,†,
,Neonatal birth hospitalization,14,12.0274914089,11.7857142857,165,141.7525773196,12753.0905785948,178543.268100328,†,
,Nonmaternal/nonneonatal hospitalization,4364,337.4574698423,5.5350595784,24155,1867.8472007423,12288.8629361595,53628597.8534,†,
Type of substance use disorder,Alcohol-related disorders,853,590.4340001384,5.6647127784,4832,3344.6390254032,11502.404563708,9811551.09284294,67.9141073776,
,Cannabis-related disorders,215,148.819824185,5.6418604651,1213,839.6206824946,8188.2828062153,1760480.80333629,12.185788076,
,Neonatal abstinence syndrome,12,8.3062227452,14.5833333333,175,121.1324150343,16233.0487316098,194796.584779317,1.348353186,
,Opioid-related disorders,552,382.0862462795,5.6213768116,3103,2147.8507648647,11038.9910303721,6093523.04876541,42.1784664551,
,Sedative-related disorders,56,38.762372811,5.1428571429,288,199.349345885,9906.6167144093,554770.536006918,3.8400397038,
,Stimulant-related disorders,101,69.9107081055,5.0198019802,507,350.937910985,6162.6837074147,622431.054448883,4.3083758182,
,Miscellaneous substances and addictive disorders,178,123.2089707206,5.9943820225,1067,738.5616390946,6988.2641383461,1243911.0166256,8.6101683161,
Type of mental disorder,Anxiety disorders,2022,1399.5985325673,5.2161226508,10547,7300.4776078079,12343.0598861982,24957667.0898928,172.7532850411,
,Bipolar disorders,527,364.7816155603,6.5559772296,3455,2391.4999653907,9661.2420334796,5091474.55164376,35.2424347729,
,Depressive disorders,2056,1423.1328303454,5.3321984436,10963,7588.426662975,10929.3350384207,22470712.838993,155.5389550702,
,"Disruptive, impulse-control, and conduct disorders",85,58.8357444452,6.0705882353,516,357.1675780439,6748.0339806807,573582.88835786,3.9702560279,
,Eating disorders,31,21.4577420918,8.7419354839,271,187.5821969959,10531.5740365963,326478.795134487,2.259837995,
,Obsessive-compulsive disorders,48,33.2248909808,5.6875,273,188.9665674535,8652.4881055959,415319.429068605,2.8747797402,
,Personality disorders,91,62.9888558178,8.6153846154,784,542.6732193535,7204.3748923356,655598.115202544,4.5379533135,
,Schizophrenia and related disorders,388,268.5678687617,7.8505154639,3046,2108.3962068249,12284.5695186746,4766412.97324575,32.9924065429,
,Somatic symptom disorders,25,17.3046307192,4.48,112,77.5247456219,10160.8775504301,254021.938760754,1.7583023379,
,Suicidal ideation or attempt,455,314.9442790891,7.1406593407,3249,2248.9098082647,6107.3198216907,2778830.51886926,19.2346543841,
,Trauma- and stressor-related disorders,255,176.5072333356,6.4784313725,1652,1143.4899979234,12014.0501901865,3063582.79849757,21.2056676023,
,Miscellaneous mental disorders,92,63.6810410466,3.7608695652,346,239.4960891535,5907.6680407689,543505.459750737,3.7620645099,
,,,,,,,,,,
"Statistic is not reported because the reporting cell draws from fewer than two hospitals, contains fewer than 11 discharges, has a relative standard error (standard error / weighted estimate) greater than 0.30 or equal to 0, or because the county is missing 2% or more of total discharges in the HCUP State Inpatient Database (SID) when compared to the Medicare Hospital Service Area File.",,,,,,,,,,
"Statistics for age, sex, and expected payer type cannot be calculated because population estimates are not available for missing categories of age or sex and because population insurance coverage information is not available at the county- or region-level.",,,,,,,,,,
"Community-level statistics are from the Agency for Healthcare Research and Quality (AHRQ), Healthcare Cost and Utilization Project (HCUP), State Inpatient Databases (SID), based on data collected by individual States and provided to AHRQ by State Partners. Weighted national estimates are from the HCUP National (Nationwide) Inpatient Sample (NIS).",,,,,,,,,,
"Rates of discharges are calculated using HCUP inpatient data as numerators and Claritas county population estimates as denominators, except for the rate of maternal/neonatal stays, which uses the number of inpatient deliveries as the denominator.",,,,,,,,,,
"For more information, see ""Calculating Community-Level Statistics for HCUPnet: Methods"" PDF (74 KB)",,,,,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. https://hcupnet.ahrq.gov/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,,,,
,,,,,,,,,,
"2016 Union, New Jersey",,,,,,,,,,
Stays Related to Mental and/or Substance Use Disorders,,,,,,,,,,
,,,,,,,,,,
,,Total number of discharges,"Rate of discharges per 100,000 population","Mean length of stay, days",Aggregate number of days in the hospital,"Number of inpatient days per 100,000 population","Mean cost per stay, $","Aggregate costs for all hospital stays, $","Costs for inpatient stays per capita, $",
US Total,,9955578.05705047,3087.6608648232,5.6255443763,56005546.1520072,17369.7732141365,12666.9044891831,126106356383.265,391.111052697,
State Total,,257654.34656161,2867.5559471329,5.9671475319,1537461.4981706,17111.1293925436,13270.1220812972,3419104633.64943,380.528174934,
"Union, New Jersey",,12054,2078.8636786953,6.4993363199,78343,13511.2342110527,12945.66905009,156047094.729785,269.1228118464,
Age group,<1,42,570.1873472712,14.1904761905,596,8091.2299755634,22183.1639398583,931692.885474051,126.4855940095,
,1-17,518,399.8332741559,7.8436293436,4063,3136.144001729,10853.9798004645,5622361.53664063,43.3978228124,
,18-44,3517,1724.2140045201,6.1816889394,21741,10658.5546409644,10290.6157569333,36192095.6171345,177.4322380324,
,45-64,4403,2751.582644344,6.4987508517,28614,17881.8500534318,13760.0116498639,60585331.2943507,378.6180924174,
,65-84,3573,4527.2547578622,6.527847747,23324,29553.2297711664,14749.5636930184,52700191.0751548,667.7503240561,
,Missing,*,†,*,*,†,*,*,†,
Sex,Male,5792,2044.3675767255,6.7033839779,38826,13704.1808587614,13374.5916527312,77465634.8526196,273.4258152679,
,Female,6250,2107.7765149854,6.31424,39464,13309.0067819817,12552.4050706131,78452531.6913319,264.5766461442,
,Missing,12,†,4.4166666667,53,†,10744.0154861337,128928.185833604,†,
Payer,Medicare,4689,†,6.7664747281,31728,†,14033.894357622,65804930.6428897,†,
,Medicaid,3206,†,6.9616344354,22319,†,11129.4348657966,35680968.1797439,†,
,Private insurance,3280,†,5.7698170732,18925,†,13700.0814299555,44936267.0902543,†,
,Uninsured,744,†,6.1344086022,4564,†,10536.2848390355,7838995.92024244,†,
,Other,133,†,6.045112782,804,†,13394.4603986062,1781463.23301463,†,
,Missing,*,†,*,*,†,*,*,†,
Type of stay,Maternal delivery hospitalization,230,33.635565955,3.0565217391,703,102.8078385493,5130.4877858936,1180012.19075552,†,
,Neonatal birth hospitalization,36,5.146533238,14.2777777778,514,73.4810578985,18773.9293450357,675861.456421285,†,
,Nonmaternal/nonneonatal hospitalization,11788,261.4268922845,6.5427553444,77126,1710.4521966689,13080.354689736,154191221.082608,†,
Type of substance use disorder,Alcohol-related disorders,2507,432.3636338551,6.0243318708,15103,2604.7020191916,12565.1152747118,31500743.9937027,54.3269889998,
,Cannabis-related disorders,809,139.5222097283,6.0964153276,4932,850.5853379231,8942.407977106,7234408.05347873,12.4766452126,
,Neonatal abstinence syndrome,16,2.7594009341,21.625,346,59.672045199,26463.6681882346,423418.691011753,0.7302387072,
,Opioid-related disorders,1487,256.4518243089,6.4357767317,9570,1650.466683683,14060.2331843291,20907566.7450974,36.0577245033,
,Sedative-related disorders,204,35.1823619092,7.2990196078,1489,256.7967494257,13573.706613521,2769036.1491583,4.7755505853,
,Stimulant-related disorders,578,99.6833587428,6.115916955,3535,609.6551438683,10779.9141030189,6230790.35154494,10.7457804475,
,Miscellaneous substances and addictive disorders,558,96.2341075752,6.6433691756,3707,639.3187039094,10307.0741208091,5751347.35941149,9.9189207973,
